sensor_id,timestamp,location_lat,location_lon,vehicle_count,avg_speed,congestion_level,road_type
TRAFFIC_001,2025-08-30T16:17:37.561011,40.71653991369537,-73.93264374008494,23,65.87588904789962,medium,commercial
TRAFFIC_002,2025-08-30T16:17:37.561011,40.79863816387999,-73.95150786241678,15,44.3934823669639,medium,arterial
TRAFFIC_003,2025-08-30T16:17:37.561011,40.70045009692473,-73.99474749597714,34,51.76603809001904,medium,highway
TRAFFIC_004,2025-08-30T16:17:37.561011,40.72111060203455,-73.96447328037725,7,40.030728964006244,low,arterial
TRAFFIC_005,2025-08-30T16:17:37.561011,40.74853901861566,-73.94720603833687,16,55.98148020624889,medium,residential
TRAFFIC_006,2025-08-30T16:17:37.561011,40.737156711057935,-73.98817085547607,4,41.34570747558944,low,residential
TRAFFIC_007,2025-08-30T16:17:37.561011,40.79708667618801,-73.99176921428644,17,43.29106028878164,low,highway
TRAFFIC_008,2025-08-30T16:17:37.561011,40.7766194357059,-74.01107581729615,16,59.12321492634639,medium,residential
TRAFFIC_009,2025-08-30T16:17:37.561011,40.76440646044297,-73.9497343686973,9,35.594692544574485,low,residential
TRAFFIC_010,2025-08-30T16:17:37.561011,40.793514852048894,-73.95611377300524,9,71.05172242314897,low,commercial
TRAFFIC_011,2025-08-30T16:17:37.561011,40.71942673904183,-73.91645688499163,18,58.16067534006188,medium,arterial
TRAFFIC_012,2025-08-30T16:17:37.561011,40.716264903161964,-73.94060574774443,18,48.477755510070125,medium,commercial
TRAFFIC_013,2025-08-30T16:17:37.561011,40.72948694624994,-74.015615508924,10,48.92331835862258,low,arterial
TRAFFIC_014,2025-08-30T16:17:37.561011,40.74940268908412,-73.97178526709179,14,69.54133384964038,medium,residential
TRAFFIC_015,2025-08-30T16:17:37.561011,40.79033048852068,-73.9811542065714,8,73.53013232842011,low,highway
TRAFFIC_016,2025-08-30T16:17:37.561011,40.76472300159274,-73.9860680081166,9,16.47071939815782,low,arterial
TRAFFIC_017,2025-08-30T16:17:37.561011,40.7817236601348,-73.95927240470752,14,80.20237214292061,medium,arterial
TRAFFIC_018,2025-08-30T16:17:37.561011,40.70981320629121,-74.01584814943776,26,32.86875148182666,medium,residential
TRAFFIC_019,2025-08-30T16:17:37.561011,40.791028228946296,-73.95932842881558,39,67.37585844053724,medium,highway
TRAFFIC_020,2025-08-30T16:17:37.561011,40.73608874135693,-73.95732451500044,10,51.68380008018436,low,commercial
TRAFFIC_021,2025-08-30T16:17:37.561011,40.70554144026505,-73.98361189005722,17,22.309976243525288,medium,residential
TRAFFIC_022,2025-08-30T16:17:37.561011,40.7791188087252,-74.0023073327999,26,53.814372153935246,medium,commercial
TRAFFIC_023,2025-08-30T16:17:37.561011,40.79509572436068,-73.95844512096141,11,29.776100800973147,medium,commercial
TRAFFIC_024,2025-08-30T16:17:37.561011,40.718873330635944,-73.93922054512282,11,55.607049651597585,medium,commercial
TRAFFIC_025,2025-08-30T16:17:37.561011,40.71373360478185,-73.94856914521293,9,19.852937670202692,low,residential
TRAFFIC_026,2025-08-30T16:17:37.561011,40.70905297304296,-73.99590278726936,31,43.97821181644389,medium,commercial
TRAFFIC_027,2025-08-30T16:17:37.561011,40.7183087775387,-74.00939104282672,14,54.89750824029784,medium,commercial
TRAFFIC_028,2025-08-30T16:17:37.561011,40.772129804425546,-73.937465603983,6,65.9504514583373,low,arterial
TRAFFIC_029,2025-08-30T16:17:37.561011,40.78942489059962,-73.909858763635,22,50.66137508196621,medium,arterial
TRAFFIC_030,2025-08-30T16:17:37.561011,40.7702203428987,-73.9144153869225,18,60.14179893290005,medium,commercial
TRAFFIC_031,2025-08-30T16:17:37.561011,40.70816731052474,-73.93132826624202,19,26.510079479126944,medium,arterial
TRAFFIC_032,2025-08-30T16:17:37.561011,40.70822596456251,-73.95271050584688,7,52.33713082800811,low,arterial
TRAFFIC_033,2025-08-30T16:17:37.561011,40.74766121661965,-73.95160170837057,19,41.06332239348801,medium,residential
TRAFFIC_034,2025-08-30T16:17:37.561011,40.75451202636824,-73.99401109170098,25,32.22308945893032,medium,arterial
TRAFFIC_035,2025-08-30T16:17:37.561011,40.74970558731307,-74.00312492039701,10,38.22206918497649,low,commercial
TRAFFIC_036,2025-08-30T16:17:37.561011,40.78105362217996,-73.90747962480326,8,54.85167764591222,low,residential
TRAFFIC_037,2025-08-30T16:17:37.561011,40.71678061500955,-73.97524455466989,44,77.93990941412754,medium,highway
TRAFFIC_038,2025-08-30T16:17:37.561011,40.75313877951367,-73.95685959931774,26,79.58682436159825,medium,commercial
TRAFFIC_039,2025-08-30T16:17:37.561011,40.780101946307276,-74.0049768069472,19,63.67055682376088,low,highway
TRAFFIC_040,2025-08-30T16:17:37.561011,40.76378041615543,-74.00811904631645,30,62.73186419040821,medium,highway
TRAFFIC_041,2025-08-30T16:17:37.561011,40.77002489419884,-74.0125813410903,16,54.961713810348314,low,highway
TRAFFIC_042,2025-08-30T16:17:37.561011,40.72518001172612,-74.01032161778382,10,44.56102985748152,low,highway
TRAFFIC_043,2025-08-30T16:17:37.561011,40.72008187060203,-73.91937325043763,17,41.29448498346087,medium,residential
TRAFFIC_044,2025-08-30T16:17:37.561011,40.76966838304581,-73.90371618258732,27,59.579945280477055,medium,highway
TRAFFIC_045,2025-08-30T16:17:37.561011,40.70748372243822,-73.99354264043112,18,59.83055830178561,medium,residential
TRAFFIC_046,2025-08-30T16:17:37.561011,40.71004821508714,-74.01216027510567,13,71.54708790503304,medium,commercial
TRAFFIC_047,2025-08-30T16:17:37.561011,40.79094061253226,-73.9765558964857,7,78.92894142662448,low,commercial
TRAFFIC_048,2025-08-30T16:17:37.561011,40.70217229337365,-73.90020616895528,4,42.98392065819604,low,commercial
TRAFFIC_049,2025-08-30T16:17:37.561011,40.741679248691234,-74.00109917080921,12,42.90410886059011,low,highway
TRAFFIC_050,2025-08-30T16:17:37.561011,40.7991545872418,-73.96919304279633,17,27.129614773915648,medium,commercial
TRAFFIC_001,2025-08-30T16:22:37.561011,40.71653991369537,-73.93264374008494,14,63.589973209248605,medium,commercial
TRAFFIC_002,2025-08-30T16:22:37.561011,40.79863816387999,-73.95150786241678,12,40.6150494954386,medium,arterial
TRAFFIC_003,2025-08-30T16:22:37.561011,40.70045009692473,-73.99474749597714,19,56.646845958093564,low,highway
TRAFFIC_004,2025-08-30T16:22:37.561011,40.72111060203455,-73.96447328037725,28,58.75347653469647,medium,arterial
TRAFFIC_005,2025-08-30T16:22:37.561011,40.74853901861566,-73.94720603833687,5,42.728179921807715,low,residential
TRAFFIC_006,2025-08-30T16:22:37.561011,40.737156711057935,-73.98817085547607,5,50.98790133161858,low,residential
TRAFFIC_007,2025-08-30T16:22:37.561011,40.79708667618801,-73.99176921428644,49,46.84905686779483,medium,highway
TRAFFIC_008,2025-08-30T16:22:37.561011,40.7766194357059,-74.01107581729615,17,34.10612955198125,medium,residential
